0	78.3090379008746
1	74.0307280053919
2	71.8726186047761
3	70.7859604319136
4	70.2224458925353
4.99999999999998	69.9212803005471
5.99999999999996	69.7557765569925
6.99999999999994	69.6627647451363
7.99999999999992	69.6097660379666
8.9999999999999	69.5795084170128
9.99999999999988	69.5546911778462
10.9999999999999	68.1408704912363
11.9999999999998	63.6067253589283
12.9999999999998	58.7920988579659
13.9999999999998	54.165611540389
14.9999999999998	50.092798214229
15.9999999999997	46.4745834395833
16.9999999999997	43.0443211644883
17.9999999999997	40.0142499048415
18.9999999999997	37.2357579411233
19.9999999999997	34.6489575898513
20.9999999999996	32.3770631470322
21.9999999999996	30.2345507868243
22.9999999999996	28.2240065613988
23.9999999999996	26.375170382241
24.9999999999996	24.6457222117527
25.9999999999995	23.0227224493779
26.9999999999995	22.0306376597167
27.9999999999995	21.4975975091953
